 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.6713±0.0033,0.6122±0.0105,0.4474±0.0076,0.2708±0.0105,0.5994±0.0398,0.5169±0.0067,0.6698±0.0025,0.605±0.0098,0.4466±0.0049,0.2671±0.0075,0.6208±0.0106,0.5138±0.0052
SVMLN,0.6704±0.004,0.6085±0.0134,0.4456±0.01,0.268±0.0141,0.6263±0.0237,0.5143±0.0068,0.6707±0.0027,0.6063±0.0068,0.4485±0.0054,0.2703±0.009,0.6193±0.0125,0.5156±0.0055
RF,0.671±0.0035,0.6039±0.0109,0.4526±0.0066,0.2735±0.0103,0.6629±0.0038,0.5174±0.0066,0.6685±0.0023,0.5969±0.0086,0.449±0.0047,0.2665±0.0069,0.658±0.0035,0.5124±0.0043
ET,0.6694±0.0038,0.5979±0.0107,0.4517±0.0064,0.27±0.0108,0.6602±0.0043,0.5146±0.007,0.6685±0.0023,0.5955±0.0069,0.4502±0.0042,0.267±0.007,0.6593±0.0038,0.5127±0.0045
XGB,0.6703±0.0034,0.6499±0.0149,0.426±0.0054,0.2576±0.0115,0.6632±0.0049,0.5146±0.0079,0.6707±0.0026,0.6529±0.016,0.426±0.0031,0.2589±0.0086,0.6636±0.0044,0.5155±0.0065
LGBM,0.6687±0.0031,0.6186±0.0125,0.4318±0.007,0.2564±0.0106,0.6564±0.005,0.5085±0.0047,0.6688±0.0025,0.6041±0.0107,0.4409±0.0044,0.2618±0.0076,0.6583±0.0039,0.5097±0.005
MLP,0.671±0.0032,0.6037±0.0102,0.4542±0.0045,0.2745±0.0086,0.6593±0.006,0.5184±0.0055,0.67±0.0026,0.6023±0.0131,0.4523±0.0045,0.2713±0.0064,0.6599±0.0058,0.5166±0.0053
NB,0.2296±0.0019,0.4722±0.0149,0.3727±0.0045,0.0871±0.0083,0.5988±0.004,0.4166±0.0078,0.23±0.0023,0.4857±0.0158,0.3733±0.0038,0.0912±0.0056,0.5977±0.0032,0.422±0.0064
1NN,0.4585±0.1819,0.4477±0.0555,0.4031±0.039,0.1172±0.0989,0.5523±0.0292,0.4241±0.0462,0.4573±0.1772,0.4444±0.0482,0.4018±0.0345,0.1155±0.089,0.5514±0.0259,0.422±0.0405
DT,0.6656±0.0024,0.5849±0.0054,0.4491±0.0056,0.2612±0.0074,0.6402±0.0026,0.508±0.0044,0.6651±0.0025,0.5835±0.0068,0.4484±0.004,0.2597±0.007,0.6408±0.0042,0.5071±0.0043
LR,0.6742±0.0028,0.6267±0.0111,0.45±0.0053,0.2784±0.008,0.671±0.005,0.5238±0.0055,0.6733±0.0026,0.6202±0.011,0.4521±0.0068,0.2775±0.0086,0.6697±0.0049,0.5229±0.0054
PLS,0.6738±0.0025,0.6221±0.0108,0.4517±0.0037,0.2784±0.0068,0.6702±0.0049,0.5233±0.0048,0.6732±0.0025,0.6204±0.0089,0.4512±0.0043,0.2768±0.0075,0.6687±0.0047,0.5224±0.0048
